"","Var1","Var2","value"
"469",98,58,0.707163380710985
"470",58,98,0.707163380710985
"471",86,79,-0.705713414781811
"472",79,86,-0.705713414781811
"473",91,35,0.70559060428838
"474",35,91,0.70559060428838
"475",84,49,0.704842530685105
"476",49,84,0.704842530685105
"477",83,16,-0.704460532934613
"478",16,83,-0.704460532934613
"479",94,61,0.703815074243118
"480",61,94,0.703815074243118
"481",91,39,-0.702216369577848
"482",39,91,-0.702216369577848
"483",65,56,0.701899397381555
"484",56,65,0.701899397381555
"485",80,74,0.701719153313634
"486",74,80,0.701719153313634
"487",91,49,-0.700094497683859
"488",49,91,-0.700094497683859
"489",85,47,0.700038265657127
"490",47,85,0.700038265657127
"491",92,39,0.697737679677473
"492",39,92,0.697737679677473
"493",50,47,-0.697354505307962
"494",47,50,-0.697354505307962
"495",100,62,0.697199007945009
"496",62,100,0.697199007945009
"497",78,69,0.69642206863508
"498",69,78,0.69642206863508
"499",56,39,-0.696371719734272
"500",39,56,-0.696371719734272
"501",84,1,-0.696194698638507
"502",1,84,-0.696194698638507
"503",69,3,0.695641022657403
"504",3,69,0.695641022657403
"505",49,40,0.693686915689843
"506",40,49,0.693686915689843
"507",48,17,0.692048458520843
"508",17,48,0.692048458520843
"509",17,15,0.69060941015953
"510",15,17,0.69060941015953
"511",77,58,0.689380119343887
"512",58,77,0.689380119343887
"513",98,56,-0.688200912091396
"514",56,98,-0.688200912091396
"515",96,14,0.687874444264422
"516",14,96,0.687874444264422
"517",67,2,0.687255145222135
"518",2,67,0.687255145222135
"519",98,79,0.686928660944194
"520",79,98,0.686928660944194
"521",85,16,-0.685396207067368
"522",16,85,-0.685396207067368
"523",99,48,0.684383049225131
"524",48,99,0.684383049225131
"525",14,4,0.684163920594261
"526",4,14,0.684163920594261
"527",65,16,-0.684053387195207
"528",16,65,-0.684053387195207
"529",98,30,0.683745706678066
"530",30,98,0.683745706678066
"531",87,10,0.68371196334674
"532",10,87,0.68371196334674
"533",92,84,0.682293661627317
"534",84,92,0.682293661627317
"535",71,2,0.681667051110133
"536",2,71,0.681667051110133
"537",50,2,-0.681307556109787
"538",2,50,-0.681307556109787
"539",29,16,-0.68116753501884
"540",16,29,-0.68116753501884
"541",28,2,-0.680700016307683
"542",2,28,-0.680700016307683
"543",86,39,-0.680581638008454
"544",39,86,-0.680581638008454
"545",98,86,-0.679765995249215
"546",86,98,-0.679765995249215
"547",79,29,-0.679597616214345
"548",29,79,-0.679597616214345
"549",65,8,0.679445828386246
"550",8,65,0.679445828386246
"551",59,26,0.679153697185888
"552",26,59,0.679153697185888
"553",50,48,-0.679048992176315
"554",48,50,-0.679048992176315
"555",91,58,-0.678975271113195
"556",58,91,-0.678975271113195
"557",65,28,-0.678168470955109
"558",28,65,-0.678168470955109
"559",83,50,-0.67812046473135
"560",50,83,-0.67812046473135
"561",61,58,-0.677848140434733
"562",58,61,-0.677848140434733
"563",49,47,-0.677674137935675
"564",47,49,-0.677674137935675
"565",75,3,0.675485906568077
"566",3,75,0.675485906568077
"567",65,49,-0.675071482816509
"568",49,65,-0.675071482816509
"569",68,33,0.675012638811611
"570",33,68,0.675012638811611
"571",94,33,0.674990900973983
"572",33,94,0.674990900973983
"573",86,24,-0.67479528206518
"574",24,86,-0.67479528206518
"575",48,5,0.674392055876917
"576",5,48,0.674392055876917
"577",98,50,0.673564184147275
"578",50,98,0.673564184147275
